participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
12,7y4r0mgk,SUB12,P1,9,43,1,57,43,,,,,57,43,10,
13,72kxcuck,SUB15,P1,8,50,1,50,50,,,,,50,50,10,
14,l9q500py,SUB14,P1,12,50,1,50,50,,,,,50,50,10,
15,2p0g017c,SUB16,P2,9,43,1,57,43,,,,,57,43,10,
16,0klbfy7w,SUB18,P2,11,50,1,50,50,,,,,50,50,10,
17,nrnoj6qg,SUB21,P2,6,50,1,50,50,,,,,50,50,10,
18,xxbh4lrv,SUB17,P1,3,35,1,65,35,,,,,65,35,10,
19,v2i3lbyw,SUB20,P1,13,25,1,75,25,,,,,75,25,10,
20,r33ctke4,SUB24,P2,8,50,1,50,50,,,,,50,50,10,
21,j24dnhl0,SUB22,P2,10,40,1,60,40,,,,,60,40,10,
22,cmlex1p5,SUB23,P1,1,50,1,50,50,,,,,50,50,10,
23,p31wvp65,SUB19,P2,1,50,1,50,50,,,,,50,50,10,
24,eao94et7,SUB25,P2,4,30,1,70,30,,,,,70,30,10,
25,bumndept,SUB26,P2,12,50,1,50,50,,,,,50,50,10,
26,p510d7qp,SUB27,P1,4,30,1,70,30,,,,,70,30,10,
5,bl2webs9,SUB05,P2,1,40,2,60,40,40,60,,,24,24,2,
21,j24dnhl0,SUB22,P1,1,40,2,60,40,40,60,,,24,24,2,
13,72kxcuck,SUB15,P2,9,40,2,75,25,40,60,,,24,24,3,
19,v2i3lbyw,SUB20,P1,9,40,2,75,25,40,60,,,24,24,3,
7,v85u2gl4,SUB07,P1,12,40,2,70,30,40,60,,,24,24,6,
20,r33ctke4,SUB24,P2,12,40,2,70,30,40,60,,,24,24,6,
12,7y4r0mgk,SUB12,P1,2,40,2,60,40,40,60,,,24,24,8,
13,72kxcuck,SUB15,P2,2,40,2,60,40,40,60,,,24,24,8,
9,0vwq6zco,SUB10,P1,10,60,3,70,30,35,65,40,60,14.4,9.6,4,
13,72kxcuck,SUB15,P2,10,60,3,70,30,35,65,40,60,14.4,9.6,4,
15,2p0g017c,SUB16,P2,1,7,3,60,40,0,100,93,7,33.48,1.12,4,
24,eao94et7,SUB25,P1,1,7,3,60,40,0,100,93,7,33.48,1.12,4,
5,bl2webs9,SUB05,P2,11,90,3,70,30,30,70,10,90,3.6,14.4,5,
26,p510d7qp,SUB27,P1,11,90,3,70,30,30,70,10,90,3.6,14.4,5,
19,v2i3lbyw,SUB20,P1,8,20,4,80,20,35,65,80,20,0,0,1,
