participant.id_in_session,participant.code,participant.label,assigned_role,group.id,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
17,uzhuss2s,SUB18,P2,17,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
20,3101cn8m,SUB22,P1,20,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
22,3q80v4zt,SUB23,P1,22,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
23,n7uygjoj,SUB24,P1,23,52,1,48,52,,,,,48,52,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 52, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,40,1,60,40,,,,,60,40,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P1,25,50,1,50,50,,,,,50,50,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
26,0yx3c7qf,SUB27,P1,26,65,1,35,65,,,,,35,65,9,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 65, ""accepted"": true}]"
1,qgj4ans2,SUB01,P1,1,55,1,45,55,,,,,45,55,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 55, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,35,1,65,35,,,,,65,35,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P2,3,40,1,60,40,,,,,60,40,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,35,1,65,35,,,,,65,35,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,50,1,50,50,,,,,50,50,10,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
